addr1,addr2,areacode,booktour,cat1,cat2,cat3,contentid,contenttypeid,createdtime,firstimage,firstimage2,cpyrhtDivCd,mapx,mapy,mlevel,modifiedtime,sigungucode,tel,title,zipcode
전라북도 고창군 고창읍 향교길 27-3,(고창읍),37,0,A02,A0201,A02010700,1595965,12,20120406234447,http://tong.visitkorea.or.kr/cms/resource/09/1602909_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/09/1602909_image3_1.jpg,Type3,126.7028027068,35.4374800292,6,20231116162911,1,,고창향교,56428
서울특별시 구로구 고척로45길 39,(고척동),1,0,A02,A0202,A02020700,2591797,12,20190313222317,http://tong.visitkorea.or.kr/cms/resource/94/2591794_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/94/2591794_image2_1.bmp,Type3,126.8533118977,37.5066256365,6,20231006153656,7,,고척근린공원,08239
서울특별시 구로구 고척동,산12-1,1,0,A02,A0201,A02010700,2591799,12,20190313223130,http://tong.visitkorea.or.kr/cms/resource/98/2591798_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/98/2591798_image2_1.bmp,Type3,126.8473068338,37.5086169645,6,20231205160207,7,,고척동 고인돌,08242
강원특별자치도 삼척시 미로면 고천길 6,,32,0,A02,A0203,A02030100,2715985,12,20210511221659,,,,129.0625565368,37.4181715152,60,20230714154052,4,,고천마을,25903
경상북도 영천시 임고면 고천길 64-4,,35,0,A02,A0201,A02010700,1957981,12,20141021182041,,,,128.9905237497,36.0170495804,6,20231110104357,15,,고천서원,38819
전라남도 해남군 황산면 고천암로 752-14,,38,0,A01,A0101,A01010500,2755146,12,20211008222041,http://tong.visitkorea.or.kr/cms/resource/29/2755129_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/29/2755129_image2_1.jpg,Type3,126.4627296611,34.5231902986,6,20231006164923,23,,고천암 자연생태공원,59009
전라남도 해남군 황산면 고천암로,,38,0,A01,A0101,A01010500,128807,12,20060227090000,http://tong.visitkorea.or.kr/cms/resource/27/2367427_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/27/2367427_image3_1.jpg,Type3,126.4715927592,34.5236431702,6,20230127103652,23,,고천암호(철새도래지),"536-800,1"
경기도 의왕시 오전로 18,(왕곡동),31,0,A02,A0202,A02020700,2743336,12,20210910231531,,,,126.9823712694,37.3479546867,6,20231107094752,24,,고천체육공원,16066
서울 서대문구 충정로 8,,1,0,A02,A0204,A02040800,2453179,12,20161213013619,,,,126.9631392793,37.5597464264,6,20231117141143,14,,고촌홀(제약박물관),03742
전라북도 정읍시 산외면 공동길 58,,37,0,A02,A0203,A02030200,2009156,12,20150610193619,http://tong.visitkorea.or.kr/cms/resource/37/2009137_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/37/2009137_image2_1.jpg,Type3,127.0201949462,35.6166039952,6,20230906162023,13,,고택문화체험관,56122
충청남도 서산시 팔봉면 고파도2길 10,,34,0,A01,A0101,A01011300,126706,12,20030723090000,http://tong.visitkorea.or.kr/cms/resource/71/2537971_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/71/2537971_image2_1.jpg,Type3,126.3359808063,36.9107356409,6,20230307155155,7,,고파도,31926
강원특별자치도 삼척시 원덕읍 월천리,", 경북 울진군 북면 나곡리",32,0,B02,B0201,B02011000,127413,12,20030723090000,http://tong.visitkorea.or.kr/cms/resource/39/2613139_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/39/2613139_image3_1.jpg,Type3,129.3615827014,37.1428284309,6,20231114095852,4,,고포마을,"245-803,31"
전라남도 목포시 고하도안길 234,(달동),38,0,A02,A0205,A02050600,2706019,12,20210215234729,http://tong.visitkorea.or.kr/cms/resource/17/2706017_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/17/2706017_image3_1.jpg,Type3,126.3592243617,34.7779821890,6,20230714143159,8,,고하도 전망대,58762
전라남도 목포시 고하도안길 234,,38,0,A02,A0202,A02020600,2656482,12,20200518184540,http://tong.visitkorea.or.kr/cms/resource/11/2676111_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/11/2676111_image2_1.jpg,Type3,126.3592243617,34.7779821890,6,20230621172926,8,,고하도 해상테마파크,58762
전라남도 목포시 달동 779-2,,38,0,A01,A0101,A01011400,2760815,12,20211021230848,,,,126.3730400986,34.7658976649,6,20231205170322,8,,고하도선착장,58762
전라남도 목포시 고하도길 175,(달동),38,0,A02,A0201,A02010700,231920,12,20071012090000,,,,126.3727234446,34.7665225894,6,20231206154834,8,,고하도이충무공유적,58762
서울특별시 광진구 능동로 216,(능동) 서울어린이대공원 내,1,0,A02,A0205,A02050400,1827189,12,20130711223757,http://tong.visitkorea.or.kr/cms/resource/45/1984645_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/45/1984645_image3_1.jpg,Type3,127.0763931608,37.5488358400,6,20230217093436,6,,고하송진우선생동상,04991
울산광역시 울주군 언양읍,", 상북면, 두서면 / 경북 경주시 산내면",7,0,A01,A0101,A01010400,126039,12,20030331090000,http://tong.visitkorea.or.kr/cms/resource/15/3057715_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/15/3057715_image3_1.jpg,Type3,129.1150012809,35.6396001019,6,20231204171913,5,,고헌산(울산),44913
경상남도 창원시 마산합포구 진동면 고현장터길 39,,36,0,A01,A0102,A01020200,231942,12,20071016090000,http://tong.visitkorea.or.kr/cms/resource/54/2484454_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/54/2484454_image2_1.jpg,Type3,128.4790910101,35.1027654370,6,20230802191849,16,,고현리 공룡발자국화석,51794
경상남도 거제시 고현동,,36,0,A02,A0201,A02010200,127265,12,20040119090000,,,,128.6209762454,34.8795735426,6,20231004113320,1,,고현성,53257
전라북도 부안군 하서면 석불산길 138,(하서면),37,0,A02,A0205,A02050200,1608625,12,20120420221151,,,,126.6418424751,35.7267128018,6,20231213112830,6,,고홍건신도비,56331
부산광역시 해운대구 해운대로 898 (좌동),부산환경공단 앞,6,,A01,A0101,A01010500,3027738,12,20231030105430,,,,129.1849303013,35.1757618302,6,20231030105504,16,,고흐의 길,48108
전라남도 고흥군 두원면 동신안길 21-6,(두원면),38,0,A02,A0201,A02010700,1624116,12,20120508005459,,,,127.2837657494,34.6432293870,6,20230913120458,2,,고흥 무열사,59514
전라남도 고흥군 대서면 동서로 925,,38,0,A02,A0203,A02030100,1348630,12,20110802234448,http://tong.visitkorea.or.kr/cms/resource/00/2516100_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/00/2516100_image2_1.jpg,Type3,127.2648705324,34.7408986720,6,20230515105440,2,,고흥 신기거북이마을,59508
전라남도 고흥군 도양읍 목넘가는길 34,(도양읍),38,0,A02,A0201,A02010700,250439,12,20071029090000,,,,127.1319207928,34.5276925404,6,20230921173139,2,,고흥 쌍충사,59557
전라남도 고흥군 풍양면 대청길 33-11,,38,0,A02,A0202,A02020700,250440,12,20071029090000,http://tong.visitkorea.or.kr/cms/resource/82/2043882_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/82/2043882_image3_1.jpg,Type3,127.2353522997,34.5723920566,6,20230922173944,2,,고흥 유자공원,59548
전라남도 고흥군 해맞이로 1175 종교시설,,38,,A01,A0101,A01010500,3000149,12,20230824143231,http://tong.visitkorea.or.kr/cms/resource/40/3000140_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/40/3000140_image3_1.jpg,Type3,127.5033558083,34.6051734978,6,20230828121220,2,,고흥 작약 꽃밭,59521
전라남도 고흥군 흥양길 40,,38,0,A02,A0201,A02010300,126980,12,20020607090000,,,,127.2849331178,34.6108108156,6,20230913105947,2,,고흥 존심당 및 아문,59535
전라남도 고흥군 포두면 팔영로 405,,38,0,A02,A0202,A02020700,2380837,12,20160427041211,http://tong.visitkorea.or.kr/cms/resource/47/2380847_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/47/2380847_image2_1.jpg,Type3,127.3933410039,34.5822186348,6,20230217172521,2,,고흥 해창만 간척지 공원,59523
전라남도 고흥군 도화면 발포성촌길 3,(도화면),38,0,A02,A0201,A02010200,250441,12,20071029090000,,,,127.3359095690,34.4840841919,6,20230921162347,2,,고흥발포진성,59528
전라남도 고흥군 영남면 해맞이로 840,,38,0,A02,A0205,A02050600,2380835,12,20160427034204,http://tong.visitkorea.or.kr/cms/resource/90/2662690_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/90/2662690_image2_1.bmp,Type3,127.4923045005,34.5850116756,6,20230512181627,2,,고흥우주발사전망대,59521
전라남도 고흥군 신호산장길 73-19,,38,,A01,A0101,A01010700,2924827,12,20221129170730,http://tong.visitkorea.or.kr/cms/resource/15/2924815_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/15/2924815_image3_1.JPG,Type3,127.3036371949,34.6043812971,6,20221129170748,2,,고흥장수호힐링정원,59536
전라남도 고흥군 고흥읍 흥양길 90-29,(고흥읍),38,0,A02,A0201,A02010700,250442,12,20071029090000,,,,127.2806778521,34.6141714783,6,20230913135505,2,,고흥향교,59534
경상북도 포항시 북구 흥해읍 칠포로 80-38,,35,0,A01,A0101,A01010500,2756089,12,20211013184745,,,,129.3530137862,36.1245637213,6,20231113101330,23,,곡강천생태공원,37531
충청남도 아산시 염치읍 송곡리,,34,0,A01,A0101,A01010500,2606725,12,20190615011120,http://tong.visitkorea.or.kr/cms/resource/24/2676024_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/24/2676024_image2_1.JPG,Type3,127.0168277624,36.7995464432,6,20230320200553,9,,곡교천 은행나무길,31450
전라남도 곡성군 곡성읍 영운1길 33,,38,0,A02,A0201,A02010900,126399,12,20020513090000,http://tong.visitkorea.or.kr/cms/resource/32/1609432_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/32/1609432_image3_1.jpg,Type3,127.2932708830,35.2874348574,6,20230926172555,3,,곡성 단군전,57534
전라남도 곡성군 곡성읍 읍내리,,38,0,A01,A0101,A01010500,2616190,12,20190821021751,,,,127.3009728808,35.2913428821,6,20230321091602,3,,곡성 메타세쿼이아길,57533
전라남도 곡성군 죽곡면 하한리,,38,0,A02,A0203,A02030100,129317,12,20061102090000,,,,127.3951758956,35.1745993486,6,20230913154031,3,,곡성 하늘나리마을,57551
전라남도 곡성군 입면 제월리,,38,0,A02,A0201,A02010700,250354,12,20071024090000,http://tong.visitkorea.or.kr/cms/resource/79/2516079_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/79/2516079_image2_1.jpg,Type3,127.2202319938,35.3224935275,6,20230412133917,3,,곡성 함허정,57511
전라남도 구례군 구례읍 섬진강로 1234,(구례읍),38,0,A01,A0101,A01010500,250345,12,20071023090000,,,,127.3692074052,35.2267152442,6,20230913145405,5,,곡성섬진강천문대,57662
전라남도 곡성군 곡성읍 교촌길 85,,38,0,A02,A0201,A02010700,126403,12,20020513090000,,,,127.2817719571,35.2851599167,6,20230926173255,3,,곡성향교,57538
전라남도 순천시 순광로 105-17,(조례동),38,0,A02,A0201,A02010700,1957351,12,20141017192801,,,,127.5312916184,34.9602897115,6,20230927113346,11,,곡수서원,57931
강원특별자치도 화천군 사내면 용담리,,32,0,A01,A0101,A01010500,2569346,12,20181124000459,http://tong.visitkorea.or.kr/cms/resource/01/2566301_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/01/2566301_image3_1.jpg,Type3,127.5387168938,38.0532605818,6,20231113163217,17,,곡운구곡 (강원평화지역 국가지질공원),24161
경상북도 포항시 북구 흥해읍,,35,0,A03,A0301,A03010300,2720498,12,20210610014315,http://tong.visitkorea.or.kr/cms/resource/29/2720529_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/29/2720529_image3_1.jpg,Type3,129.3919489586,36.1347494244,6,20231207153956,23,,곤륜산 활공장,37530
경상북도 칠곡군 약목면 신유로 60,(약목면),35,0,A02,A0201,A02010700,1957985,12,20141021182445,,,,128.3605317320,36.0301641742,6,20231209134740,22,,곤산서원,39824
경상남도 사천시 곤양면 향교길 43-31,(곤양면),36,0,A02,A0201,A02010700,1955237,12,20141011023936,,,,127.9689534059,35.0611054655,6,20231106172512,8,,곤양향교,52504
경기도 의정부시 낙양동,,31,,A02,A0202,A02020700,2999501,12,20230822141947,http://tong.visitkorea.or.kr/cms/resource/63/2999463_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/63/2999463_image3_1.JPG,Type3,127.0849256196,37.7467963073,6,20230914174213,25,,곤제근린공원,11769
경기도 광주시 곤지암로 72,,31,,A01,A0102,A01020200,2862208,12,20220929155201,http://tong.visitkorea.or.kr/cms/resource/93/2862193_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/93/2862193_image3_1.jpg,Type3,127.3387611019,37.3495942430,6,20220929155212,5,,곤지바위,12804
경기도 광주시 도척면 도척윗로 278,,31,0,A02,A0202,A02020200,649970,12,20081111190103,,,,127.2922239974,37.3374836915,6,20231116143013,5,,곤지암리조트,12809
경기도 광주시 도척면 도척윗로 278,,31,0,A02,A0202,A02020200,2661898,12,20200703004820,,,,127.2922239974,37.3374836915,6,20230302134014,5,,곤지암리조트 힐링캠퍼스,12809
경기도 광주시 신대길 139-22,,31,,A02,A0204,A02040800,2867659,12,20221014151035,http://tong.visitkorea.or.kr/cms/resource/48/2867648_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/48/2867648_image3_1.jpg,Type3,127.3309530804,37.3635230446,6,20221202153129,5,,곤지암반디숲,12801
경기도 광주시 곤지암읍 평촌길 12-137,,31,0,A02,A0202,A02020700,2742062,12,20210909190741,http://tong.visitkorea.or.kr/cms/resource/72/2742472_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/72/2742472_image2_1.jpg,Type3,127.3211735204,37.3596844225,6,20230531102204,5,,곤지암생활체육공원,12800
강원특별자치도 원주시 귀래면 북원로 563-14,,32,0,A02,A0203,A02030400,2717250,12,20210514223919,,,,127.8906708027,37.2093011194,6,20230823174417,9,,곤충농장 벅스팜,26501
경기도 구리시 검배로 200,(수택동),31,0,A02,A0206,A02060300,129549,12,20070514090000,http://tong.visitkorea.or.kr/cms/resource/84/1860084_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/84/1860084_image3_1.jpg,Type3,127.1612786485,37.5919629185,6,20231122134211,6,"031-550-2586, 2903",곤충생태관,11960
경상북도 경주시 양북면 기림로 101-5,,35,0,A02,A0201,A02010800,127693,12,20031124090000,,,,129.4091069500,35.8057841422,6,20231117145040,2,,골굴사(경주),38120
경상북도 경주시 양북면 기림로 101-5,,35,0,A01,A0101,A01010500,2614474,12,20190807225427,http://tong.visitkorea.or.kr/cms/resource/68/2614468_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/68/2614468_image2_1.bmp,Type3,129.4091069500,35.8057841422,6,20230203112100,2,,골굴암 타포니 (경북 동해안 국가지질공원),38120
전라북도 전주시 완산구 은행로 72-1 (교동),,37,,A02,A0203,A02030400,3066378,12,20231212110354,http://tong.visitkorea.or.kr/cms/resource/67/3066367_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/67/3066367_image3_1.jpg,Type3,127.1527308297,35.8134977974,6,20231213143438,12,,골목대장,55044
경기도 성남시 분당구 구미로 193,(구미동),31,0,A02,A0201,A02010800,2765232,12,20211101185428,http://tong.visitkorea.or.kr/cms/resource/53/2765353_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/53/2765353_image2_1.jpg,Type3,127.1305467924,37.3447049400,6,20230125135701,12,,골안사,13621
충청남도 당진시 면천면 성상리,,34,,A01,A0101,A01011800,3035208,12,20231109133527,http://tong.visitkorea.or.kr/cms/resource/02/3035202_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/02/3035202_image3_1.jpg,Type3,126.6717750779,36.8185187632,6,20231109133541,4,,골정 저수지,31804
충청남도 공주시 백제큰길 2110-16,(웅진동),34,0,A02,A0202,A02020200,2756160,12,20211013192531,,,,127.1117031619,36.4702609582,6,20231205113745,1,,곰나루국민관광단지,32535
경상남도 거창군 웅양면 화평길 6,,36,,A02,A0203,A02030100,3014603,12,20230922160739,http://tong.visitkorea.or.kr/cms/resource/65/3014565_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/65/3014565_image3_1.jpg,Type3,127.9153829176,35.8017709104,6,20231214173806,2,,곰내미체험마을,50113
부산광역시 기장군 철마면 웅천리 254-4,,6,0,A01,A0101,A01010700,2782765,12,20211129222303,http://tong.visitkorea.or.kr/cms/resource/58/2794158_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/58/2794158_image2_1.jpg,Type3,129.1695450043,35.2954092493,6,20221216151801,3,,곰내연밭,
서울특별시 양천구 곰달래로 36,,1,0,A02,A0203,A02030100,2611588,12,20190718010252,http://tong.visitkorea.or.kr/cms/resource/86/2611586_image2_1.bmp,http://tong.visitkorea.or.kr/cms/resource/86/2611586_image2_1.bmp,Type3,126.8376404865,37.5286144689,,20230602174516,19,,곰달래꿈마을,07925
전라북도 부안군 진서면,,37,0,A01,A0101,A01011800,1608654,12,20120420223452,,,,126.6170703047,35.5927553986,6,20230703155825,6,,곰소염전,56346
전라북도 부안군 진서면 곰소리,,37,0,A01,A0101,A01011400,127690,12,20030820090000,http://tong.visitkorea.or.kr/cms/resource/25/2367225_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/25/2367225_image3_1.jpg,Type3,126.6054465080,35.5861059588,6,20230320195904,6,,곰소항,56346
경기도 하남시 창우동,산 27-7번지 외 필지,31,0,A01,A0101,A01011000,750834,12,20090610185730,http://tong.visitkorea.or.kr/cms/resource/18/739018_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/18/739018_image3_1.jpg,Type3,127.2429982248,37.5215753492,6,20221117103427,30,,곱돌광산약수터,
경상남도 양산시 원동면 원동로 2282-11,,36,0,A02,A0204,A02040800,2775369,12,20211117201052,,,,128.9459303545,35.4256321462,6,20211117201146,10,,공가실(공정 가치 실현),50585
서울특별시 성동구 연무장1길 7-1,(성수동2가),1,0,A02,A0203,A02030400,2713660,12,20210414010122,,,,127.0505511791,37.5449913775,6,20230927141900,16,,공간 와디즈,04782
경상남도 거제시 일운면,,36,0,A02,A0204,A02040800,2536196,12,20180214014304,http://tong.visitkorea.or.kr/cms/resource/08/2536108_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/08/2536108_image3_1.jpg,Type3,128.7139287523,34.7945847123,6,20230705134634,1,,공곶이,53329
서울특별시 마포구 임정로21길 12-4,(신공덕동),1,0,A02,A0203,A02030600,749192,12,20090608184451,http://tong.visitkorea.or.kr/cms/resource/55/739955_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/55/739955_image3_1.jpg,Type3,126.9531378467,37.5444202509,6,20231113140404,13,,공덕동 족발 골목,04186
대구광역시 남구 용두2길 43,(봉덕동),4,0,A02,A0202,A02020600,2478972,12,20170203233339,http://tong.visitkorea.or.kr/cms/resource/47/2478947_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/47/2478947_image2_1.JPG,Type3,128.6034408589,35.8300524321,6,20230302101404,1,,공룡공원,42503
울산광역시 중구 유곡동 259-2,,7,0,A02,A0202,A02020600,2784124,12,20211201013635,http://tong.visitkorea.or.kr/cms/resource/32/2800032_image2_1.JPG,http://tong.visitkorea.or.kr/cms/resource/32/2800032_image2_1.JPG,Type3,129.3061895174,35.5626623497,6,20230313100116,1,,공룡발자국공원,
전라북도 익산시 왕궁면 호반로 8,,37,0,A02,A0202,A02020600,2778914,12,20211124234518,http://tong.visitkorea.or.kr/cms/resource/53/2781553_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/53/2781553_image2_1.jpg,Type3,127.1026056450,35.9907045238,6,20230628130649,9,,공룡테마공원,54575
경기도 고양시 덕양구 신원동,,31,0,A01,A0101,A01011800,2568681,12,20181122022055,http://tong.visitkorea.or.kr/cms/resource/97/2566197_image2_1.jpg,http://tong.visitkorea.or.kr/cms/resource/97/2566197_image3_1.jpg,Type3,126.8792767302,37.6845387417,6,20231122105729,2,,공릉천,10284
경기도 파주시 조리읍 장곡리,,31,,A02,A0202,A02020700,3032487,12,20231106180859,,,,126.8360621437,37.7504164056,6,20231106180910,27,,공릉호,10940
충청남도 홍성군 구항면 오봉리,,34,0,A01,A0101,A01011800,2771931,12,20211110190754,,,,126.6108364279,36.5999123337,6,20230209173418,15,,공리저수지,32213
